ID,Pergunta,A,Nó A,B,Nó B
1,Mais que 3 quartos?,SIM,2,NÃO,3
2,Mais que 1 andar?,SIM,4,NÃO,5
3,Nível de construção maior que 7?,SIM,6,NÃO,7
4,Área construída maior que 2017 metros quadrados?,SIM,8,NÃO,9
5,Nível de construção maior que 7?,SIM,10,NÃO,11
6,Área construída maior que 2017 metros quadrados?,SIM,12,NÃO,13
7,Área construída maior que 2017 metros quadrados?,SIM,14,NÃO,15
8,Tem porão?,SIM,16,NÃO,17
9,Tem porão?,SIM,18,NÃO,19
10,Área do lote maior que 9566 metros quadrados?,SIM,20,NÃO,21
11,Área construída maior que 2017 metros quadrados?,SIM,22,NÃO,23
12,Mais que 1 banheiro?,SIM,24,NÃO,25
13,NÓ FOLHA,Acima do valor de mercado.,,,
14,NÓ FOLHA,Abaixo do valor de mercado.,,,
15,Tem porão?,SIM,26,NÃO,27
16,Nível de construção maior que 7?,SIM,28,NÃO,29
17,Nível de construção maior que 7?,SIM,30,NÃO,31
18,NÓ FOLHA,Abaixo do valor de mercado.,,,
19,Estado de conservação maior que 3?,SIM,32,NÃO,33
20,Mais que 1 banheiro?,SIM,34,NÃO,35
21,Mais que 1 banheiro?,SIM,36,NÃO,37
22,NÓ FOLHA,Abaixo do valor de mercado.,,,
23,Área do lote maior que 9566 metros quadrados?,SIM,38,NÃO,39
24,Área do lote maior que 9566 metros quadrados?,SIM,40,NÃO,41
25,Mais que 1 andar?,SIM,42,NÃO,43
26,Área do lote maior que 9566 metros quadrados?,SIM,44,NÃO,45
27,Área do lote maior que 9566 metros quadrados?,SIM,46,NÃO,47
28,,SIM,48,NÃO,49
29,Estado de conservação maior que 3?,SIM,50,NÃO,51
30,Estado de conservação maior que 3?,SIM,52,NÃO,53
31,NÓ FOLHA,Abaixo do valor de mercado.,,,
32,Área do lote maior que 9566 metros quadrados?,SIM,54,NÃO,55
33,Área do lote maior que 9566 metros quadrados?,SIM,56,NÃO,57
34,NÓ FOLHA,Abaixo do valor de mercado.,,,
35,Estado de conservação maior que 3?,SIM,58,NÃO,59
36,NÓ FOLHA,Abaixo do valor de mercado.,,,
